Timestamp,Angle,Buzzer
94814,85,OFF
94935,85,OFF
95056,85,OFF
95177,90,OFF
95298,85,OFF
95420,85,OFF
95541,85,OFF
95662,90,OFF
95782,85,OFF
95904,90,OFF
96025,85,OFF
96147,85,OFF
96268,85,OFF
96389,85,OFF
96509,90,OFF
96631,85,OFF
96752,85,OFF
96873,90,OFF
96995,85,OFF
97116,85,OFF
97238,85,OFF
97358,90,OFF
97479,85,OFF
97600,90,OFF
97722,85,OFF
97843,85,OFF
97964,85,OFF
98085,85,OFF
98206,85,OFF
98327,85,OFF
98449,85,OFF
98570,85,OFF
98691,85,OFF
98812,90,OFF
98933,85,OFF
99054,90,OFF
99176,85,OFF
99297,85,OFF
99418,85,OFF
99539,90,OFF
99660,85,OFF
99781,85,OFF
99903,85,OFF
100024,85,OFF
100145,81,OFF
100267,90,OFF
100387,85,OFF
100508,85,OFF
100630,90,OFF
100751,85,OFF
100872,90,OFF
100994,85,OFF
101114,90,OFF
101236,85,OFF
101357,85,OFF
101478,85,OFF
101600,85,OFF
101721,85,OFF
101841,85,OFF
101963,85,OFF
102084,90,OFF
102205,85,OFF
102327,90,OFF
102448,85,OFF
102569,85,OFF
102690,85,OFF
102811,85,OFF
102933,90,OFF
103054,85,OFF
103175,85,OFF
103297,90,OFF
103417,90,OFF
103538,90,OFF
103660,85,OFF
103781,85,OFF
103903,90,OFF
104024,85,OFF
104144,90,OFF
104266,85,OFF
104387,90,OFF
104508,85,OFF
104630,85,OFF
104751,90,OFF
104871,90,OFF
104993,85,OFF
105114,85,OFF
105236,85,OFF
105357,90,OFF
105478,90,OFF
105600,90,OFF
105720,90,OFF
105841,90,OFF
105963,85,OFF
106084,85,OFF
106205,85,OFF
106327,90,OFF
106447,85,OFF
106568,90,OFF
106690,90,OFF
106811,85,OFF
106932,85,OFF
107054,81,OFF
107174,81,OFF
107296,85,OFF
107417,85,OFF
107538,85,OFF
107660,85,OFF
107781,90,OFF
107901,85,OFF
108023,90,OFF
108144,85,OFF
108266,85,OFF
108387,85,OFF
108508,85,OFF
108630,85,OFF
108750,85,OFF
108872,85,OFF
108993,90,OFF
109114,85,OFF
109236,85,OFF
109357,90,OFF
109477,85,OFF
109599,90,OFF
109720,90,OFF
109841,85,OFF
109963,85,OFF
110084,81,OFF
110205,90,OFF
110326,90,OFF
110447,85,OFF
110569,85,OFF
110690,85,OFF
110811,90,OFF
110932,85,OFF
111053,85,OFF
111174,90,OFF
111296,85,OFF
111417,85,OFF
111539,85,OFF
111660,85,OFF
111780,85,OFF
111902,81,OFF
112023,90,OFF
112145,90,OFF
112266,85,OFF
112387,85,OFF
112508,85,OFF
112629,85,OFF
112750,85,OFF
112872,90,OFF
112993,85,OFF
113115,85,OFF
113235,90,OFF
113356,90,OFF
113478,85,OFF
113599,85,OFF
113720,85,OFF
113842,81,OFF
113963,85,OFF
114084,85,OFF
114205,85,OFF
114326,85,OFF
114448,85,OFF
114569,85,OFF
114690,85,OFF
